block_num,trial_num,label,predict_probas
0,24,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0,25,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0,26,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0,27,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0,28,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0,29,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,0,0,"[0.1901141107082367, 0.1681860387325287, 0.27055585384368896, 0.2688661813735962, 0.24935221672058105, 0.25977393984794617, 0.2792031466960907, 0.2934485673904419, 0.2034427523612976, 0.18577231466770172, 0.13380670547485352, 0.15310725569725037, 0.08292235434055328, 0.01621299795806408, 0.00812144298106432, 0.0030310596339404583]"
1,1,1,"[0.02360498160123825, 0.0967707633972168, 0.3778929114341736, 0.6207603216171265, 0.763558030128479, 0.8316275477409363, 0.9890545606613159, 0.9999871253967285, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
1,2,0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9999999403953552, 0.9999796748161316, 0.9994823932647705, 0.9897064566612244, 0.780561089515686, 0.5260265469551086, 0.25541403889656067, 0.14300787448883057, 0.12273915857076645, 0.05518011376261711, 0.020487571135163307, 0.014174975454807281, 0.0070032719522714615, 0.008206738159060478, 0.011628372594714165, 0.006922953296452761, 0.006492661777883768, 0.007773461285978556, 0.01618504896759987, 0.05015351250767708, 0.12652504444122314, 0.13119785487651825, 0.15082252025604248, 0.11567514389753342, 0.14934349060058594, 0.12828215956687927, 0.07176311314105988, 0.05035252496600151]"
1,3,1,"[0.06579684466123581, 0.13590258359909058, 0.23317041993141174, 0.24981030821800232, 0.4591844379901886, 0.7460415363311768, 0.9681084752082825, 0.9999996423721313, 1.0, 0.9999998211860657, 0.999999463558197, 0.9999995827674866, 0.9999998211860657, 0.9999999403953552, 1.0, 0.9999999403953552, 0.9999995827674866, 0.9999986290931702, 0.9999967217445374, 0.9999449253082275, 0.9982770681381226, 0.9814954996109009, 0.9114901423454285, 0.8003509640693665, 0.7607223987579346, 0.7684425711631775, 0.7484385371208191]"
1,4,0,"[0.43739935755729675, 0.19032160937786102, 0.042856741696596146, 0.0030613860581070185, 0.0005565473693422973, 0.00023679154401179403, 8.631415403215215e-05, 0.003567351959645748, 0.0010606142459437251, 0.00014439450751524419, 0.00016183096158783883, 0.00019343958410900086, 0.0006292915204539895, 0.9715449213981628, 0.971818208694458, 0.9405856132507324, 0.8508811593055725, 0.9954739809036255, 0.9999942183494568, 0.9999993443489075, 0.16529284417629242, 8.139608689816669e-05, 2.209641536410345e-08, 5.207974607124299e-10, 3.802664086394181e-11, 2.9275103174963846e-11, 3.2175168779291496e-11, 1.8030020185189066e-11, 5.844288161055422e-12, 9.85349388887835e-13, 1.0124907368676966e-13, 2.702956250071357e-15, 3.029330485444852e-16, 5.3283149648118006e-15, 2.491001247504135e-14, 8.833367116109839e-14, 1.4137516569749653e-13, 7.525194524590426e-14, 2.3081932415749962e-14, 8.877770107864214e-15, 2.1614463928257884e-15, 8.421105211604504e-16, 2.2172522056435723e-16, 2.4410334795733812e-17, 1.0308126270288818e-18, 5.350250730902439e-20, 1.6090123404925427e-20, 2.639860691384129e-18, 3.3357583866357524e-14, 9.408456002127363e-13, 1.9212301888282823e-11, 4.6938945785779396e-11, 2.059121970154898e-12, 1.4122539943040024e-12, 9.184882672139127e-13, 7.302838889167163e-13, 6.513120121356963e-13, 3.505927373501777e-13, 2.1848169974580944e-13, 9.78070977073614e-14, 4.444267355388845e-14, 5.052530185141631e-14, 2.0292818938899213e-14, 1.9238593262417038e-14, 2.5545666656242444e-14, 3.156075254655624e-14, 1.0556490984093767e-13, 3.603425880165795e-13]"
